product_id,product_name,category,subcategory,brand,unit_cost,unit_price,sku,is_active
PRD0001,Apex Women 1,Apparel,Women,Apex,79.47,137.75,SKU-APP-00001,True
PRD0002,Lumina Decor 2,Home,Decor,Lumina,19.43,26.09,SKU-HOM-00002,True
PRD0003,Forge Beverages 3,Grocery,Beverages,Forge,273.85,569.87,SKU-GRO-00003,True
PRD0004,Cascade Fitness 4,Sports,Fitness,Cascade,387.07,602.78,SKU-SPO-00004,True
PRD0005,Orbit Phones 5,Electronics,Phones,Orbit,149.44,259.57,SKU-ELE-00005,True
PRD0006,Pinnacle Kids 6,Apparel,Kids,Pinnacle,77.41,101.59,SKU-APP-00006,True
PRD0007,Harbor Bedding 7,Home,Bedding,Harbor,191.33,274.3,SKU-HOM-00007,True
PRD0008,Nova Produce 8,Grocery,Produce,Nova,268.59,455.65,SKU-GRO-00008,True
PRD0009,Apex Outdoor 9,Sports,Outdoor,Apex,333.41,675.27,SKU-SPO-00009,True
PRD0010,Lumina Headphones 10,Electronics,Headphones,Lumina,126.32,276.68,SKU-ELE-00010,True
PRD0011,Forge Accessories 11,Apparel,Accessories,Forge,322.3,526.75,SKU-APP-00011,True
PRD0012,Cascade Furniture 12,Home,Furniture,Cascade,116.75,233.86,SKU-HOM-00012,True
PRD0013,Orbit Dairy 13,Grocery,Dairy,Orbit,57.62,80.66,SKU-GRO-00013,True
PRD0014,Pinnacle Team Sports 14,Sports,Team Sports,Pinnacle,4.93,10.52,SKU-SPO-00014,True
PRD0015,Harbor Tablets 15,Electronics,Tablets,Harbor,266.61,541.61,SKU-ELE-00015,True
PRD0016,Nova Men 16,Apparel,Men,Nova,312.73,539.04,SKU-APP-00016,True
PRD0017,Apex Kitchen 17,Home,Kitchen,Apex,228.36,302.52,SKU-HOM-00017,False
PRD0018,Lumina Snacks 18,Grocery,Snacks,Lumina,47.58,94.47,SKU-GRO-00018,True
PRD0019,Forge Footwear 19,Sports,Footwear,Forge,189.5,351.82,SKU-SPO-00019,True
PRD0020,Cascade Laptops 20,Electronics,Laptops,Cascade,306.47,595.59,SKU-ELE-00020,True
PRD0021,Orbit Women 21,Apparel,Women,Orbit,222.32,411.07,SKU-APP-00021,True
PRD0022,Pinnacle Decor 22,Home,Decor,Pinnacle,122.97,146.15,SKU-HOM-00022,True
PRD0023,Harbor Beverages 23,Grocery,Beverages,Harbor,175.81,249.34,SKU-GRO-00023,True
